291 499
0.002361 0.000293 6.1e-005
0.004455 -0.000916 -7e-006
0.005 -0.000833 -1.1e-005
0.004211 0.00049 5e-005
0.002361 0.000286 -0.00014
0.004211 0.000482 -0.00015
0.004999 -0.000831 -9.2e-005
0.004454 -0.000914 -8.8e-005
0.004612 0.000773 -0.001566
0.00422 0.000714 -0.001552
0.003938 0.000702 1.8e-005
0.004056 0.000668 -0.000784
0.004617 0.00074 -0.001574
0.00463 0.000796 0.001591
0.004252 0.000711 -4e-006
0.004623 0.000838 0.001599
0.004243 0.00078 0.00159
0.003084 0.000534 0.000222
0.00425 0.000737 0.001582
0.003078 0.000577 0.000231
0.003093 0.000532 -0.000266
0.003093 0.000534 2e-005
0.004225 0.00068 -0.00156
0.003088 0.000565 -0.000258
0.004246 0.000748 -6e-006
0.003962 0.000668 4.1e-005
0.001342 0.000478 0.004137
0.001343 0.00048 0.004265
0.001767 0.000543 0.004134
0.001767 0.000545 0.004262
0.001902 0.000154 0.004369
0.001837 0.000213 0.004297
0.001254 0.00036 -0.004145
0.001253 0.000357 -0.004273
0.001678 0.000422 -0.004276
0.001678 0.000425 -0.004148
0.001812 2.7e-005 -0.004369
0.001748 8.9e-005 -0.004299
0.000411 0.000576 -0.003071
0.000412 0.000578 -0.002948
0.000415 0.000391 -0.003068
0.000416 0.000393 -0.002944
-0.00046 0.000411 -0.002965
-0.000459 0.00041 -0.00304
-0.000689 0.000494 0.001542
-0.000688 0.000497 0.001665
-0.000685 0.000309 0.001545
-0.000684 0.000311 0.001669
-0.001564 0.000329 0.001648
-0.001559 0.000328 0.001573
0.000458 0.000692 0.002787
0.000458 0.000695 0.002911
0.000462 0.000507 0.00279
0.000462 0.000509 0.002914
-0.000418 0.000527 0.002893
-0.000413 0.000526 0.002818
-0.000705 0.00043 -0.00179
-0.000705 0.000432 -0.001666
-0.000701 0.000244 -0.001786
-0.000701 0.000246 -0.001662
-0.001576 0.000265 -0.001683
-0.001575 0.000263 -0.001758
-0.000366 0.000556 -0.000817
-0.000425 0.000433 -0.000836
-0.000419 0.000435 -0.000777
-0.000169 0.000624 0.001233
-0.000228 0.000502 0.001257
-0.000224 0.000502 0.001198
-0.000202 0.000573 -0.001237
-0.000261 0.00045 -0.001257
-0.000256 0.000452 -0.001198
0.000286 0.000601 0.002092
0.000227 0.000479 0.002117
0.000231 0.000479 0.002058
0.000249 0.000503 -0.002107
0.000189 0.00038 -0.002127
0.000194 0.000383 -0.002068
0.000457 0.000486 -0.002594
0.000397 0.000363 -0.002614
0.000401 0.000366 -0.002555
-0.003504 -0.00044 0.000442
-0.003889 -0.000828 0.000158
-0.004057 -0.000827 -7.1e-005
-0.004002 -0.000874 2.7e-005
-0.003766 -0.000748 -0.00017
-0.003341 -0.0004 -0.000411
-0.004146 -0.000503 -0.000326
-0.003946 -0.000166 -0.000348
-0.003186 -0.000124 -0.000451
-0.004015 2.1e-005 -0.000156
-0.003409 9.1e-005 -0.000317
-0.003373 0.00011 0.000344
-0.003772 5.4e-005 0.000309
-0.003874 -0.000287 0.000461
-0.002875 -0.000184 0.000501
-0.003752 -0.000697 0.0003
-0.002766 -0.00069 0.0002
-0.002863 -0.000775 7.6e-005
-0.002952 -0.000763 -8.4e-005
-0.003033 -0.000633 -0.000242
-0.002363 -0.000243 -0.00045
-0.002976 0.000258 -0.000218
-0.003447 0.000222 -4.4e-005
-0.003612 0.000189 5.2e-005
-0.002375 0.000413 -4.3e-005
-0.002888 0.000316 0.00016
-0.003174 -1.4e-005 0.000462
-0.00201 -4.6e-005 0.000495
-0.002377 -0.000278 0.000463
-0.001766 -0.000148 0.000454
-0.002023 -0.000485 0.000299
-0.00214 -0.000634 0.000151
-0.00171 -0.000551 0.00013
-0.002138 -0.000674 -1.3e-005
-0.001706 -0.000579 -2.8e-005
-0.002155 -0.000554 -0.000214
-0.001763 -0.000376 -0.00029
-0.00178 -0.00012 -0.000437
-0.001905 8.2e-005 -0.000459
-0.002224 0.000251 -0.000371
-0.002103 0.000403 -0.000198
-0.00258 0.000278 0.000325
-0.002028 0.000285 0.00039
-0.002177 9.6e-005 0.000482
-0.000837 4.4e-005 0.000365
-0.000866 -0.000291 0.00011
-0.00086 -0.000318 -2.4e-005
-0.001722 -0.000516 -0.000145
-0.000869 -0.000223 -0.000176
-0.000934 0.000186 -0.000397
-0.001861 0.000461 0.000165
-0.000993 0.00036 0.000368
-0.00087 0.000207 0.000403
